ID,상임위,소관,세부사업,내역사업,지역성사업,예산,A,B,C
BG378,문화체육관광부,문화체육관광위원회,안전한 스포츠 활동 지원,국제대회계기 안전종합시스템 구축운영,0,11000,0,0,0
BG379,농림축산식품부,농림축산식품해양수산위원회,비축지원,밀 비축제 도입,0,10000,0,0,0
BG380,교육부,교육위원회,사립대학 시간강사 처우개선(융자),0,0,6500,0,0,0
BG381,과학기술정보통신부,과학기술정보방송통신위원회,SW 융합클러스터 2.0,0,0,6300,0,0,0
BG382,기획재정부,기획재정위원회,경찰청 수원팔달 경찰서 신축,0,1,5000,0,0,0
BG383,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,고양서 도래울파출소 신축,1,2310,0,0,0
BG384,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,부산사상서 덕포파출소 신축,1,2300,0,0,0
BG385,문화체육관광부,문화체육관광위원회,전통문화체험 지원,문경 세계명상마을 조성,1,2250,0,0,0
BG386,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,김포서 운양파출소 신축,1,2200,0,0,0
BG387,문화체육관광부,문화체육관광위원회,기초생활체육 저변확산 지원,남양주 국제유소년 축구센터 건립,1,2150,1,0,0
BG388,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,구리서 갈매파출소 신축,1,2080,0,0,0
BG389,기획재정부,기획재정위원회,경찰청 경찰서 청사시설 신축,증평경찰서 신축,1,2000,0,0,0
BG390,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,안양만안서 안양지구대 신축,1,2000,0,0,0
BG391,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,동작서 사당지구대 신축,1,2000,0,0,0
BG392,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,서울도봉서 도봉1파출소 신축,1,2000,0,0,0
BG393,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,인천서부서 가정지구대 신축,1,1980,0,0,0
BG394,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,양산서 평산파출소 신축,1,1814,0,0,0
BG395,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,대전중부서 유등지구대 신축,1,1799,0,0,0
BG396,문화체육관광부,문화체육관광위원회,영화정책지원,한국영화 100주년 기념사업,0,1570,0,0,0
BG397,과학기술정보통신부,과학기술정보방송통신위원회,방사선 안전기반조성,방사선안전규제정보 분석 및 관리,0,1452,0,0,0
BG398,과학기술정보통신부,과학기술정보방송통신위원회,차세대 융합형 콘텐츠 산업 육성,스마트융복합 멀티플렉스 조성,1,1400,0,0,0
BG399,보건복지부,보건복지위원회,국가결핵예방,서울 서북병원 시설개선,1,1400,0,0,0
BG400,기획재정부,기획재정위원회,경찰청 경찰서 청사시설 증축,부여경찰서 사무동 증축,1,1231,0,0,0
BG401,과학기술정보통신부,과학기술정보방송통신위원회,방사선 안전기반조성,방사선위치추적관리 시스템 운영,0,1186,0,0,0
BG402,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,안산단원서 원선파출소 신축,1,1132,0,0,0
BG403,기획재정부,기획재정위원회,경찰청 경찰서 청사시설 증축,인천 연수경찰서 민원동 증축,1,1054,0,0,0
BG404,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,광주광산서 월곡지구대 신축,1,1028,0,0,0
BG405,기획재정부,기획재정위원회,경찰청 경찰서 청사시설 증축,예산경찰서 사무동 증축,1,1020,0,0,0
BG406,외교부,외교통일위원회,글로벌 협력 강화,한-아세안 공공외교 네트워크 구축,0,1000,0,0,0
BG407,문화체육관광부,문화체육관광위원회,기초생활체육 저변확산 지원,신길복합문화체육센터 건립,1,1000,0,0,0
BG408,문화체육관광부,문화체육관광위원회,기초생활체육 저변확산 지원,시흥 복합체육센터 건립,1,1000,0,0,0
BG409,문화체육관광부,문화체육관광위원회,기초생활체육 저변확산 지원,묵2동 중랑문화체육복합센터 건립,1,1000,0,0,0
BG410,문화체육관광부,문화체육관광위원회,관광레저기반 구축,오시아노 국민휴양마을 조성,1,1000,0,0,0
BG411,문화체육관광부,문화체육관광위원회,전통문화체험 지원,전주 세계평화 명상센터 건립,1,1000,0,0,0
BG412,문화체육관광부,문화체육관광위원회,외래관광객유치 마케팅 활성화 지원,한중일 관광협력사업 지원,0,1000,0,0,0
BG413,농림축산식품부,농림축산식품해양수산위원회,전통발효식품육성,친환경쌀전통민속주 제조장 및 체험장 건립,1,1000,1,0,0
BG414,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,서울중랑서 용마지구대 신축,1,982,0,0,0
BG415,기획재정부,기획재정위원회,경찰청 기타시설 취득,여수경찰서 주차타워 증축,1,958,0,0,0
BG416,보건복지부,보건복지위원회,치매관리체계 구축,신안 공립노인전문병원 확충,1,930,0,0,0
BG417,보건복지부,보건복지위원회,치매관리체계 구축,제주의료원 부설요양병원 치매전문병동 설치,1,930,0,0,0
BG418,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,전주완산서 삼천지구대 신축,1,740,0,0,0
BG419,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,충남홍성서 내포지구대 신축,1,710,0,0,0
BG420,기획재정부,기획재정위원회,보건복지부 국립포항검역소 직원관사 매입,0,1,670,0,0,0
BG421,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,충남태안서 안면파출소 신축,1,640,0,0,0
BG422,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,진도서 고군파출소 신축,1,640,0,0,0
BG423,보건복지부,보건복지위원회,치매관리체계 구축,대전시립 제1노인 전문병원 치매전문병동 확충,1,630,0,0,0
BG424,농림축산식품부,농림축산식품해양수산위원회,전통발효식품육성,남해안권 발효식품산업지원센터 건립,1,600,0,0,0
BG425,산업통상자원부,산업통상자원중소벤처기업위원회,에너지산업 융복합단지 기반구축,0,0,600,0,0,0
BG426,보건복지부,보건복지위원회,자살예방 및 지역정신보건사업,자살유가족 등 지원사업,0,600,0,0,0
BG427,과학기술정보통신부,과학기술정보방송통신위원회,방사선 안전기반조성,종사자안전규제정보 분석 및 관리,0,586,0,0,0
BG428,과학기술정보통신부,과학기술정보방송통신위원회,ICT 진흥 및 혁신 기반조성(R&D),ICT 규제개혁 및 ICT 기반사회현안해결방안연구,0,580,0,0,0
BG429,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,포천서 이동파출소 신축,1,537,0,0,0
BG430,기획재정부,기획재정위원회,경찰청 경찰서 청사시설 신축,평택 북부경찰서 신축,1,530,0,0,0
BG431,보건복지부,보건복지위원회,치매관리체계 구축,완주 공립요양병원 치매전문병동 확충,1,530,0,0,0
BG432,과학기술정보통신부,과학기술정보방송통신위원회,방사선 안전기반조성,방사선애로기술 지원센터 운영,0,527,0,0,0
BG433,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,익산서 성당파출소 신축,1,522,0,0,0
BG434,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,연천서 왕징파출소 신축,1,513,0,0,0
BG435,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,전남광양서 진상파출소 신축,1,510,0,0,0
BG436,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,인천강화서 불은파출소 신축,1,481,0,0,0
BG437,기획재정부,기획재정위원회,경찰청 지구대 파출소 낙도치안센터 청사시설 취득,무주서 안성파출소 신축,1,477,0,0,0
BG438,문화체육관광부,문화체육관광위원회,관광레저기반 구축,인천 만석해안산책로 조성,1,407,0,0,0
